Component,Components,Number of AMIs,Number of Services,AMIs Model Creation (ms),AMIs Evaluation (ms),Services Model Creation (ms),Services Evaluation (ms),Combination Model Creation (ms),Combination Evaluation (ms),Total (ms)
compo_1,3,1,1,8,18,2,11,1,3,43
compo_1,3,1,2,0,3,1,10,0,0,14
compo_1,3,1,3,0,4,1,16,0,0,21
compo_1,3,1,4,0,3,0,15,0,0,18
compo_1,3,1,5,0,1,0,8,0,0,9
compo_1,3,2,1,1,3,0,5,0,0,9
compo_1,3,2,2,0,4,1,10,0,0,15
compo_1,3,2,3,0,5,1,6,0,0,12
compo_1,3,2,4,0,3,0,7,0,0,10
compo_1,3,2,5,1,5,9,7,0,0,22
compo_1,3,3,1,1,15,0,12,0,4,32
compo_1,3,3,2,0,2,0,15,0,0,17
compo_1,3,3,3,0,3,4,16,0,0,23
compo_1,3,3,4,0,2,1,11,0,0,14
compo_1,3,3,5,0,3,0,9,0,0,12
compo_1,3,4,1,1,5,0,6,0,0,12
compo_1,3,4,2,0,3,0,6,0,1,10
compo_1,3,4,3,0,2,0,6,0,0,8
compo_1,3,4,4,0,2,0,5,0,1,8
compo_1,3,4,5,0,4,1,11,0,1,17
compo_1,3,5,1,0,8,1,10,0,0,19
compo_1,3,5,2,0,25,0,8,0,0,33
compo_1,3,5,3,0,4,1,28,1,1,35
compo_1,3,5,4,1,5,0,14,0,0,20
compo_1,3,5,5,0,8,0,13,0,0,21
compo_1,3,1,1,0,3,0,10,0,0,13
compo_2,3,1,1,0,4,0,6,0,0,10
compo_1,3,1,2,0,5,0,8,0,0,13
compo_2,3,1,2,0,3,0,13,0,0,16
compo_1,3,1,3,0,3,2,42,0,0,47
compo_2,3,1,3,0,6,0,31,0,0,37
compo_1,3,1,4,0,5,1,13,0,0,19
compo_2,3,1,4,0,8,1,15,0,0,24
compo_1,3,1,5,0,4,1,6,0,0,11
compo_2,3,1,5,0,5,0,6,0,1,12
compo_1,3,2,1,1,90,0,14,0,0,105
compo_2,3,2,1,0,5,0,10,0,0,15
compo_1,3,2,2,0,0,1,2,0,0,3
compo_2,3,2,2,0,2,0,5,0,0,7
compo_1,3,2,3,0,1,0,3,0,0,4
compo_2,3,2,3,0,2,0,4,0,0,6
compo_1,3,2,4,0,26,1,6,0,0,33
compo_2,3,2,4,0,7,0,6,0,0,13
compo_1,3,2,5,0,45,0,2,0,0,47
compo_2,3,2,5,0,1,0,2,0,0,3
compo_1,3,3,1,0,1,0,3,0,0,4
compo_2,3,3,1,0,48,0,2,0,0,50
compo_1,3,3,2,0,2,0,3,0,0,5
compo_2,3,3,2,0,3,0,6,0,0,9
compo_1,3,3,3,0,2,0,53,0,0,55
compo_2,3,3,3,0,4,0,8,0,0,12
compo_1,3,3,4,0,0,1,3,0,0,4
compo_2,3,3,4,0,2,0,50,0,0,52
compo_1,3,3,5,0,1,0,49,1,0,51
compo_2,3,3,5,1,1,0,2,0,0,4
compo_1,3,4,1,0,2,0,9,0,0,11
compo_2,3,4,1,0,1,0,4,0,0,5
compo_1,3,4,2,0,1,0,3,0,0,4
compo_2,3,4,2,0,3,0,3,0,0,6
compo_1,3,4,3,0,13,0,2,0,1,16
compo_2,3,4,3,0,1,0,47,0,0,48
compo_1,3,4,4,0,2,0,5,0,0,7
compo_2,3,4,4,0,2,1,4,0,0,7
compo_1,3,4,5,0,1,0,7,0,0,8
compo_2,3,4,5,0,3,0,4,0,0,7
compo_1,3,5,1,0,1,0,7,0,0,8
compo_2,3,5,1,0,1,0,3,0,0,4
compo_1,3,5,2,0,1,0,2,0,0,3
compo_2,3,5,2,0,1,0,4,0,1,6
compo_1,3,5,3,0,1,0,1,0,0,2
compo_2,3,5,3,0,0,1,1,0,0,2
compo_1,3,5,4,0,2,0,4,0,0,6
compo_2,3,5,4,0,2,0,4,0,0,6
