Components,Number of AMIs,Number of Services,Formation Solutions Model Creation (ms),Formation Solutions Evaluation (ms),Total (ms), GA vs. Full
2,1,1,3,3,29,null
2,1,2,0,6,35,1.0
2,1,3,0,4,88,1.0
2,1,4,1,13,57,1.0
2,1,5,1,7,31,1.0
2,2,1,0,1,121,1.0
2,2,2,0,3,13,1.0
2,2,3,1,5,16,1.0
2,2,4,4,15,65,1.0
2,2,5,16,10,76,1.0
2,3,1,0,2,56,1.0
2,3,2,9,5,28,1.0
2,3,3,2,8,77,1.0
2,3,4,2,25,83,1.0
2,3,5,19,85,159,1.0
2,4,1,0,1,17,1.0
2,4,2,2,3,15,1.0
2,4,3,47,17,128,1.0
2,4,4,52,49,115,1.0
2,4,5,74,199,288,1.0
2,5,1,1,1,14,1.0
2,5,2,46,7,62,1.0
2,5,3,62,39,105,1.0
