Component,Components,Number of AMIs,Number of Services,AMIs Model Creation (ms),AMIs Evaluation (ms),Services Model Creation (ms),Services Evaluation (ms),Combination Model Creation (ms),Combination Evaluation (ms),Total (ms)
compo_1,3,1,1,12,14,2,5,2,3,38
compo_1,3,1,2,1,2,0,8,0,0,11
compo_1,3,1,3,0,2,0,5,0,0,7
compo_1,3,1,4,0,1,1,6,0,0,8
compo_1,3,1,5,0,10,1,11,0,0,22
compo_1,3,2,1,0,2,1,3,0,0,6
compo_1,3,2,2,0,4,0,4,0,0,8
compo_1,3,2,3,0,3,1,6,0,0,10
compo_1,3,2,4,0,4,1,9,0,0,14
compo_1,3,2,5,0,1,1,7,0,0,9
compo_1,3,3,1,0,3,0,10,0,0,13
compo_1,3,3,2,0,5,0,13,0,0,18
compo_1,3,3,3,0,3,0,9,0,0,12
compo_1,3,3,4,0,2,1,4,0,0,7
compo_1,3,3,5,0,2,1,8,0,0,11
compo_1,3,4,1,0,2,0,3,0,0,5
compo_1,3,4,2,0,4,0,5,0,0,9
compo_1,3,4,3,1,3,0,17,0,0,21
compo_1,3,4,4,0,3,0,8,0,0,11
compo_1,3,4,5,0,3,0,15,0,0,18
compo_1,3,5,1,1,3,0,6,0,0,10
compo_1,3,5,2,1,5,0,20,0,1,27
compo_1,3,5,3,0,5,0,23,0,0,28
compo_1,3,5,4,0,6,0,10,0,0,16
compo_1,3,5,5,0,3,1,17,0,0,21
compo_1,3,1,1,0,1,0,7,0,0,8
compo_2,3,1,1,0,5,0,6,0,0,11
compo_1,3,1,2,0,10,2,10,0,1,23
compo_2,3,1,2,0,5,0,7,0,0,12
compo_1,3,1,3,0,3,0,5,0,0,8
compo_2,3,1,3,0,7,0,6,0,0,13
compo_1,3,1,4,0,6,1,5,0,0,12
compo_2,3,1,4,0,3,0,6,0,0,9
compo_1,3,1,5,0,4,0,9,0,0,13
compo_2,3,1,5,0,2,0,15,0,0,17
